system,truth_nm,estimate_nm,error_nm,confidence,repeat
original_dual_plus_minus,487.0,486.9569615832564,-0.043038416743627295,0.046637105102288565,13
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,487.0,486.8290356116461,-0.1709643883539229,0.06676946203854162,13
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,487.0,486.97830939755886,-0.021690602441140072,0.057856071206714224,13
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,487.0,486.88568646270096,-0.11431353729904004,0.06267443808854374,13
double_helix,487.0,487.06414656298085,0.0641465629808522,0.07734415025149906,14
best_single_helix,487.0,487.08597059016705,0.08597059016705089,0.09252755804042191,14
original_dual_plus_minus,487.0,487.2085777533425,0.20857775334252437,0.027515030463071986,14
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,487.0,486.95803392266964,-0.04196607733035762,0.05514042043043276,14
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,487.0,486.99025154938784,-0.009748450612164561,0.05731829079650317,14
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,487.0,486.68988760029083,-0.31011239970916904,0.0824068006499101,14
double_helix,487.0,487.00460909603396,0.004609096033959759,0.08784241077412523,15
best_single_helix,487.0,486.96333160545004,-0.03666839454996307,0.11132980660126619,15
original_dual_plus_minus,487.0,487.16090783025106,0.16090783025106248,0.03127649524875577,15
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,487.0,487.0429257755957,0.042925775595676896,0.050685786493511596,15
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,487.0,486.9577854434559,-0.04221455654408146,0.061154537905701745,15
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,487.0,487.05441607947824,0.05441607947824423,0.04800540195990347,15
double_helix,487.0,487.1408712447768,0.1408712447768039,0.06639096458547811,16
best_single_helix,487.0,487.14504881958356,0.14504881958356464,0.0745332697139898,16
original_dual_plus_minus,487.0,486.8593864889822,-0.14061351101781838,0.05396788782075051,16
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,487.0,486.9267460805,-0.07325391950001858,0.057839468294358716,16
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,487.0,486.94018621707573,-0.05981378292426598,0.056108609559548925,16
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,487.0,487.03802861665855,0.03802861665855062,0.04554414382338288,16
double_helix,487.0,487.13318293728975,0.13318293728974595,0.07274291079382375,17
best_single_helix,487.0,486.9261924828333,-0.0738075171666992,0.10915368250701901,17
original_dual_plus_minus,487.0,487.32902600202937,0.3290260020293658,0.016252456152056446,17
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,487.0,487.0125013221314,0.012501322131413417,0.05188270771824299,17
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,487.0,487.10337547904913,0.10337547904913436,0.043516692677899406,17
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,487.0,486.8371536339066,-0.16284636609339032,0.06678572585886035,17
double_helix,487.0,486.84586023755986,-0.15413976244013838,0.11967753591893754,18
best_single_helix,487.0,486.9965431707939,-0.003456829206072598,0.09559853892396541,18
original_dual_plus_minus,487.0,487.1070157642073,0.10701576420728998,0.035861448127357476,18
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,487.0,487.11736462924665,0.11736462924665148,0.04093453404884606,18
